日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,crowding_z,escape_index_0_100,escape_signal,escape_level
2015-07-23,4250.81,0.022527398512446117,26.905293345336037,2.72,1.08,6026.95,0.02678312838388064,27.903746709745764,3.23,14586.3,,-0.747,-0.801,0.72,-1.166,-0.439,,-0.434,39.31,0,相对安全
2015-07-24,4176.28,-0.017533128980123935,27.00721648720812,3.41,1.19,5940.26,-0.0143837264287906,28.022444236660338,3.72,14576.9,,-0.196,-0.395,-0.37,-0.867,-0.455,,-0.385,40.5,0,相对安全
2015-07-27,3818.73,-0.08561447029413727,26.89277616857151,8.12,1.11,5478.88,-0.07767000097638821,27.89488836299239,8.07,14293.2,,-0.79,-0.681,-1.907,0.884,-0.554,,-0.809,30.82,0,相对安全
2015-07-28,3811.09,-0.002000665142599778,26.902567003512797,6.7,1.16,5375.72,-0.018828665712700365,27.83715908768496,7.17,13805.199999999999,,-0.901,-0.498,-0.077,0.582,-0.721,,-0.508,37.56,0,相对安全
2015-07-29,3930.38,0.03130075647649355,26.64293323085578,4.32,0.84,5590.31,0.0399183737248221,27.644361237376913,5.8,13722.6,,-1.93,-1.606,1.028,-0.197,-0.761,,-0.894,29.03,0,相对安全
2015-07-30,3815.41,-0.02925162452485519,26.653788508755582,4.21,0.82,5433.4,-0.028068210886337375,27.704198713036813,4.63,13709.900000000001,,-1.698,-1.625,-0.708,-0.422,-0.779,,-1.185,23.42,0,相对安全
2015-07-31,3816.7,0.0003381025892368328,26.424754161234237,2.77,0.67,5380.01,-0.00982625980049312,27.415191724891685,3.15,13384.6,,-2.776,-2.092,-0.14,-0.979,-0.901,,-1.53,17.8,0,相对安全
2015-08-03,3829.24,0.003285560824796363,26.45864806431816,2.27,0.75,5270.29,-0.02039401413752029,27.380928441940252,3.26,12972.4,,-2.625,-1.781,-0.221,-1.067,-1.056,,-1.474,18.64,0,相对安全
2015-08-04,3948.16,0.03105577085792488,26.388849620665592,3.85,0.67,5507.63,0.04503357500251415,27.43556151558636,4.88,13134.9,,-2.475,-1.963,1.008,-0.168,-1.012,,-1.184,23.43,0,相对安全
2015-08-05,3866.9,-0.020581739341870575,26.331614342033983,2.62,0.61,5433.98,-0.013372357983379546,27.50227995679618,3.08,13125.6,,-2.302,-2.057,-0.654,-0.99,-1.028,,-1.531,17.78,0,相对安全
2015-08-06,3831.85,-0.009064108200367293,25.99899174623111,2.47,0.45,5400.55,-0.0061520285315734835,27.191854763675085,2.95,13087.699999999999,,-3.0,-2.406,-0.29,-1.054,-1.053,,-1.735,14.99,0,相对安全
2015-08-07,3906.94,0.019596278559964597,26.230814908494885,1.79,0.56,5547.11,0.027137976687559462,27.44375156870334,2.08,13172.900000000001,,-2.192,-1.988,0.808,-1.401,-1.034,,-1.24,22.45,0,相对安全
2015-08-10,4084.36,0.045411498512902604,26.71897640854296,4.32,0.93,5811.7,0.04769871158134609,27.766039417916115,4.45,13404.6,,-0.805,-0.899,1.533,0.173,-0.963,,-0.368,40.9,0,相对安全
2015-08-11,4066.67,-0.00433115592161315,26.756343764331916,1.67,0.98,5822.53,0.001863482285733964,27.85262562476022,2.01,13542.6,,-0.596,-0.766,-0.079,-1.32,-0.926,,-0.67,33.86,0,相对安全
2015-08-12,4016.13,-0.012427858665689628,26.551621177247828,1.54,0.77,5748.5,-0.012714404219471565,27.66053531949112,1.78,13589.0,,-1.232,-1.361,-0.524,-1.282,-0.925,,-1.058,25.77,0,相对安全
2015-08-13,4075.46,0.0147729281671658,26.491235530306334,2.69,0.74,5871.15,0.021336000695833635,27.644228183130437,3.3,13726.4,,-1.313,-1.409,0.529,-0.415,-0.893,,-0.831,30.35,0,相对安全
2015-08-14,4073.54,-0.00047111246337838697,26.552437350393173,1.38,0.77,5898.59,0.004673701063675928,27.773575012863606,1.69,13779.0,,-0.974,-1.304,0.047,-1.192,-0.895,,-0.859,29.75,0,相对安全
